"Id" "Sexo" "Estad_Civil" "Ingreso_mensual_cliente" "N_llamada_recib" "N_recargas" "Tot_Min_consum" "N_mens_tex_env" "N_llamadas_realiz" "Antig_cliente_meses" "N_reclamos"
"384" 384 "Masculino" "Casado" 1965 32 4 91 64 16 82 3
"385" 385 "Masculino" "Casado" 1995 38 4 91 64 16 82 3
"386" 386 "Masculino" "Casado" 2945 25 6 181 8 16 82 1
"387" 387 "Masculino" "Soltero" 3015 38 6 262 81 17 82 1
"388" 388 "Masculino" "Casado" 2585 26 4 156 88 14 82 1
"389" 389 "Masculino" "Casado" 2835 22 6 232 9 15 82 1
"390" 390 "Femenino" "Soltero" 2665 32 4 144 92 14 82 3
"391" 391 "Masculino" "Casado" 2370 36 4 135 80 13 82 1
"392" 392 "Masculino" "Soltero" 2950 27 4 151 86 17 82 1
"393" 393 "Masculino" "Casado" 2790 27 4 140 82 16 82 1
"394" 394 "Femenino" "Casado" 2130 44 4 97 53 25 82 2
"395" 395 "Femenino" "Soltero" 2295 32 4 135 80 12 82 1
"396" 396 "Masculino" "Casado" 2625 28 4 120 75 19 82 1
"397" 397 "Masculino" "Casado" 2720 31 4 119 78 19 82 1
